W	N1	N2	N3	R	anotacion
99.158005	0.27076593	0.25994053	0.14694357	0.16434845	0
99.9489	0.01452281	0.014415312	0.011064718	0.011097153	0
99.93414	0.02014417	0.018020583	0.013738881	0.013959227	0
99.96121	0.011658523	0.010835393	0.008140938	0.008162895	0
99.969795	0.008851863	0.008500951	0.0064550047	0.006391465	0
99.96248	0.011602116	0.01026975	0.0077885664	0.007864583	0
99.97477	0.0074400436	0.007019131	0.0054045715	0.005364	0
99.96816	0.009814141	0.008669175	0.0066271774	0.0067310818	0
99.982735	0.0050195656	0.0047756787	0.003736351	0.0037384084	0
99.979256	0.006122083	0.0057689357	0.0044726427	0.0043772487	0
99.978455	0.00633609	0.006004881	0.0046498016	0.004552941	0
99.96387	0.011167943	0.00995045	0.0075347773	0.007477648	0
99.97315	0.00799341	0.007446788	0.005737971	0.0056684227	0
99.94089	0.018069468	0.015398765	0.012011731	0.0136253135	0
99.94346	0.017199682	0.014823401	0.011511074	0.013007945	0
99.94403	0.017020749	0.0146803465	0.011404117	0.012858676	0
99.94809	0.015660033	0.0136793805	0.010602538	0.01196298	0
99.97851	0.006354792	0.005978306	0.004647197	0.0045119706	0
99.98304	0.0049374034	0.0047123767	0.0037197203	0.003592252	0
99.9818	0.0053186105	0.0050692083	0.0039689294	0.0038307174	0
99.97897	0.0061652334	0.0058763	0.0045609823	0.0044371528	0
99.96014	0.0121612195	0.010289228	0.008274643	0.00913717	0
99.95745	0.013000073	0.011033812	0.008822179	0.009686422	0
99.94492	0.01724593	0.0141951805	0.011249151	0.012382159	0
99.94347	0.017795466	0.014638975	0.011506143	0.012593693	0
99.98338	0.004887654	0.0045193005	0.0035992998	0.0036102084	0
99.97319	0.008377813	0.0071281744	0.005602776	0.0057033338	0
99.96737	0.009962319	0.008551791	0.0069359588	0.007167126	0
99.98129	0.005710595	0.0050009266	0.0039745322	0.0040106857	0
99.98962	0.0030034618	0.002787458	0.002316327	0.002273855	0
99.99051	0.0027411978	0.0025372936	0.0021217724	0.0020850739	0
99.99067	0.002704808	0.0024934295	0.0020881542	0.0020549817	0
99.990585	0.002744816	0.0024977848	0.0021079474	0.0020796293	0
99.98838	0.0034856221	0.0030352473	0.0025399392	0.0025574525	0
99.990845	0.002672098	0.0024042085	0.0020450575	0.0020289624	0
99.9861	0.004265511	0.0035972954	0.0030027316	0.0030340273	0
99.98885	0.0032259254	0.002964151	0.0025102864	0.0024394575	0
99.990845	0.0026540444	0.0024326865	0.0020659748	0.0019954208	0
99.99001	0.0029030012	0.0026420115	0.002230747	0.0022064634	0
99.99235	0.0021880572	0.0020350642	0.0017458946	0.0016803022	0
99.99345	0.0018434835	0.0017297014	0.0015198626	0.0014503956	0
99.99377	0.0017522633	0.0016431676	0.0014588904	0.0013875627	0
99.99389	0.0017118799	0.0016039531	0.0014327117	0.0013595619	0
99.99399	0.0016846756	0.0015771828	0.0014151873	0.0013409103	0
99.99404	0.0016641612	0.001557905	0.00140354	0.0013268235	0
99.99409	0.001649877	0.0015439253	0.0013951631	0.0013166808	0
99.994095	0.001646732	0.0015406689	0.0013946847	0.0013143644	0
99.99411	0.0016434988	0.0015379048	0.0013947479	0.0013119729	0
99.99412	0.0016426973	0.0015356452	0.001394361	0.0013100423	0
99.994095	0.0016497895	0.0015414718	0.0014005674	0.0013152093	0
99.994095	0.001649562	0.0015415752	0.0014028067	0.0013150554	0
99.99407	0.0016565777	0.0015473384	0.0014090468	0.0013202892	0
99.994064	0.0016602176	0.0015491406	0.0014113156	0.0013224089	0
99.994026	0.0016718968	0.0015593765	0.0014202235	0.0013292902	0
99.993965	0.0016879316	0.0015739772	0.0014327929	0.0013381033	0
99.993904	0.001707109	0.0015906786	0.0014468527	0.0013497957	0
99.99381	0.0017352648	0.0016151242	0.001467177	0.0013673425	0
99.99369	0.0017742281	0.0016488268	0.0014931781	0.0013920631	0
99.99353	0.0018210254	0.0016916647	0.0015267611	0.0014229467	0
99.9933	0.0018928249	0.0017572729	0.0015772511	0.0014712622	0
99.992935	0.0020042758	0.0018563021	0.0016562841	0.0015467949	0
99.992035	0.002277919	0.0021077923	0.0018564117	0.001727933	0
