W	N1	N2	N3	R	anotacion
99.97782	0.005883809	0.005555124	0.0051446455	0.0055890805	0
99.986946	0.003598196	0.003324508	0.0029018342	0.0032383054	0
99.98763	0.0034983146	0.0031329128	0.0027675007	0.0029663811	0
99.9865	0.0038477625	0.0033471624	0.0029744122	0.003328706	0
99.983955	0.0046884986	0.0040108324	0.0035053126	0.0038418963	0
99.980865	0.0056955274	0.00480143	0.0041610315	0.00447213	0
99.9794	0.0061738794	0.0051633865	0.004518548	0.004742889	0
99.94411	0.018538393	0.013613503	0.011422725	0.012322639	0
99.80666	0.07076824	0.045573168	0.03663378	0.040365655	0
91.66546	4.719196	1.4351374	1.0156999	1.1645095	0
0.6595709	98.07551	0.66251576	0.2668177	0.33558577	1
0.5711508	98.442116	0.48836306	0.22486746	0.27349383	1
0.6705043	98.13105	0.6158355	0.25727925	0.32532796	1
0.79764956	97.695526	0.8032913	0.3296793	0.37385842	1
99.41808	0.22521156	0.14418307	0.10689533	0.10562883	0
0.57461953	98.39876	0.5205906	0.23066968	0.27536717	1
0.68923223	1.692833	96.045715	0.9993179	0.5729061	2
0.16897471	0.28538388	99.100876	0.3025025	0.14226705	2
0.36971053	0.7406534	98.20528	0.3924598	0.2919013	2
2.1744452	93.90538	2.302068	0.691054	0.927052	1
0.75730354	2.1790814	95.57721	0.786269	0.700126	2
0.059380736	0.09844699	99.701996	0.08490573	0.055268843	2
0.089610584	0.14010726	99.51564	0.16801418	0.08663179	2
0.027071571	0.03803436	99.867165	0.04080105	0.02692834	2
0.025077505	0.034718484	99.87786	0.03766305	0.024678238	2
0.040241692	0.05896759	99.79974	0.06172692	0.039318603	2
0.023057854	0.03131148	99.889114	0.034102485	0.022412578	2
0.025296686	0.032875556	99.8786	0.0389621	0.024270577	2
0.033491243	0.047977146	99.834305	0.05173062	0.032503072	2
0.03607476	0.05219045	99.820015	0.056869805	0.034851827	2
0.04956718	0.07099214	99.74634	0.08537297	0.047733307	2
0.20077054	0.2545814	98.895836	0.4647458	0.18407036	2
0.4728087	0.60175896	97.14926	1.3509103	0.42526504	2
0.39285535	0.46765202	97.73623	1.0513881	0.35187042	2
0.21550485	0.28826421	98.76509	0.5246398	0.20650318	2
0.5271296	0.6318	96.830055	1.5434233	0.46758297	2
0.29621938	0.3934843	98.24095	0.7833516	0.28599346	2
0.4303687	0.36535653	1.2008035	97.64024	0.36322618	3
0.60878235	0.5193412	1.8353574	96.523895	0.51262283	3
0.35162303	0.2988224	0.9295263	98.12312	0.2969058	3
0.60366625	0.5301585	1.9050545	96.44547	0.51565135	3
0.522607	0.44426253	1.4079239	97.19462	0.4305847	3
0.18724413	0.15699966	0.41791588	99.08125	0.15658394	3
0.3404542	0.2735113	0.7851442	98.33342	0.26746622	3
0.49155125	0.9480635	97.54596	0.63383716	0.3805948	2
0.13262528	0.22852722	99.26168	0.25012589	0.127034	2
0.93340576	1.3067107	93.90475	3.0661478	0.78899246	2
0.2404724	0.4138541	98.558235	0.55428773	0.23314737	2
0.7852614	1.0292233	94.905266	2.5825267	0.69772	2
0.24211068	0.36554277	98.53094	0.62031096	0.24110012	2
0.640228	0.5686827	2.136082	96.10086	0.55414903	3
0.44844913	0.6347695	97.11248	1.361856	0.44244406	2
0.4617416	0.4131713	1.3925278	97.325516	0.40704417	3
0.17738582	0.15547748	0.4109223	99.101326	0.15489392	3
0.40255395	0.3619576	1.1318853	97.748924	0.35468206	3
0.1164217	0.10355848	0.24742891	99.429665	0.102923155	3
0.09854649	0.087645434	0.20280208	99.52358	0.08742711	3
0.08404823	0.0746543	0.16774395	99.59878	0.07477394	3
0.07674979	0.068149835	0.15088032	99.63584	0.06838431	3
0.06988934	0.06199154	0.13517879	99.67055	0.062398862	3
0.0649203	0.0575005	0.12405378	99.69548	0.058042705	3
0.061403204	0.054221902	0.116197035	99.71328	0.0548988	3
0.061693087	0.054564204	0.117313676	99.71127	0.055154804	3
0.056203756	0.049642704	0.105054095	99.738655	0.050439466	3
0.054126162	0.047632873	0.100392066	99.74932	0.048529208	3
0.05606954	0.049420346	0.10500209	99.7393	0.050199155	3
0.05199915	0.04581593	0.09609882	99.75936	0.046726074	3
0.0491524	0.043243952	0.08990619	99.77346	0.044236913	3
0.047307134	0.041581463	0.08601615	99.78246	0.042634465	3
0.045807485	0.04019896	0.082814775	99.789894	0.041285615	3
0.04473159	0.039240446	0.08063149	99.795044	0.04035184	3
0.043189842	0.03786224	0.07741231	99.802536	0.039000478	3
0.042158157	0.036933742	0.07527632	99.80756	0.038067196	3
0.04090549	0.035813443	0.07270001	99.813614	0.036967777	3
0.040106297	0.035087306	0.071076	99.81748	0.036248013	3
0.039198685	0.03427715	0.0692523	99.821815	0.035457503	3
0.038210385	0.033390276	0.067254074	99.82657	0.03457654	3
0.0374064	0.032672804	0.06565965	99.83041	0.033858452	3
0.03656643	0.031922612	0.063976794	99.83443	0.03310167	3
0.035780303	0.031219266	0.0624045	99.838196	0.03239262	3
0.03528216	0.030770568	0.061426144	99.84058	0.031932913	3
0.034504242	0.030081352	0.059876677	99.8443	0.031236948	3
0.033951897	0.029588697	0.05879047	99.84693	0.030737903	3
0.03345772	0.029140038	0.0578041	99.84933	0.030279629	3
0.033144567	0.028856166	0.057204492	99.85081	0.029996034	3
0.032637395	0.028401116	0.056200575	99.8532	0.02954894	3
0.032352824	0.0281451	0.055657122	99.85455	0.029295005	3
0.03197973	0.02780282	0.054898888	99.85638	0.028940843	3
0.031810008	0.027644439	0.05457402	99.8572	0.028779168	3
0.03163411	0.027474225	0.054217473	99.85806	0.028607612	3
0.031782474	0.027580906	0.054509506	99.85741	0.028720317	3
0.032066405	0.02778562	0.055049952	99.85613	0.028964775	3
0.033277486	0.02877764	0.05746145	99.850464	0.030019378	3
0.034135014	0.029484838	0.059206028	99.846405	0.03076228	3
0.033926025	0.029265957	0.05879253	99.84748	0.03053308	3
0.03623914	0.031097539	0.063277714	99.83699	0.032389194	3
0.04271841	0.03610854	0.07559267	99.80805	0.037529834	3
0.06338798	0.052016594	0.11558967	99.71526	0.05374412	3
