W	N1	N2	N3	R	anotacion
99.99334	0.0018259836	0.0017155202	0.0015370619	0.0015821661	0
99.99484	0.0014068942	0.0013239695	0.001217576	0.0012040822	0
99.994965	0.0013785454	0.0012947376	0.0011869518	0.0011692464	0
99.9949	0.00140386	0.0013127457	0.0011980687	0.0011777008	0
99.99488	0.0014194754	0.0013212692	0.001200163	0.0011781746	0
99.994896	0.0014205062	0.0013165436	0.001194604	0.001168253	0
99.99491	0.0014247653	0.0013158689	0.0011941451	0.0011615481	0
99.99488	0.0014372292	0.0013225168	0.001200931	0.0011617631	0
99.99478	0.0014728822	0.0013480164	0.0012235473	0.0011821134	0
99.994675	0.0015019265	0.0013725421	0.0012478487	0.0011988796	0
99.994606	0.0015243727	0.0013911118	0.0012646593	0.0012103688	0
99.9945	0.0015505214	0.0014169861	0.0012882998	0.0012443786	0
99.994484	0.0015579619	0.0014231105	0.00129492	0.0012464524	0
99.9944	0.0015901327	0.0014459809	0.0013100671	0.0012610964	0
99.99425	0.0016399943	0.0014803984	0.0013298104	0.00129267	0
99.994255	0.0016334046	0.0014832278	0.0013418715	0.0012820092	0
99.9941	0.0016920283	0.0015266142	0.0013746712	0.0013062332	0
99.993965	0.0017323425	0.0015587277	0.0014034862	0.001331495	0
99.99326	0.001969493	0.001731491	0.0015192803	0.0015092412	0
99.994156	0.0016819322	0.0015156674	0.0013648713	0.0012866743	0
99.993965	0.0017408805	0.0015615475	0.0014044852	0.0013265279	0
99.99311	0.0020324024	0.0017674556	0.0015672556	0.0015225987	0
99.990295	0.0029561075	0.0024661405	0.0021236113	0.0021555675	0
99.99413	0.0016788259	0.0015158956	0.0013785292	0.0012901529	0
99.99419	0.0016565586	0.0014994541	0.0013652812	0.0012839515	0
99.994286	0.0016293405	0.0014753119	0.0013376226	0.0012743364	0
99.99452	0.0015490685	0.0014170337	0.0013012539	0.001215876	0
99.994545	0.0015392547	0.0014098925	0.0012973157	0.0012112131	0
99.99453	0.0015414475	0.0014128711	0.0013011447	0.001213443	0
99.99453	0.0015399804	0.0014139242	0.0013047511	0.0012129238	0
99.994545	0.0015351366	0.0014107444	0.0013030721	0.0012104514	0
99.99451	0.0015455703	0.001418852	0.0013097164	0.0012184146	0
99.99446	0.0015606851	0.0014317868	0.0013197203	0.0012262143	0
99.99443	0.001571136	0.0014405118	0.001326351	0.0012329271	0
99.99445	0.0015717893	0.001441457	0.0013164134	0.0012207088	0
99.9944	0.001589179	0.0014542616	0.0013251209	0.001231587	0
99.99435	0.0016103482	0.0014716373	0.0013382671	0.0012453301	0
99.99428	0.0016287416	0.0014865665	0.0013452574	0.0012603698	0
99.99451	0.0015518668	0.0014249644	0.0013055499	0.0012116492	0
99.994484	0.0015611575	0.0014314913	0.001312376	0.001216715	0
99.99441	0.0015841096	0.0014522572	0.0013314174	0.0012283248	0
99.99437	0.001593249	0.0014616544	0.0013429604	0.0012335741	0
99.99437	0.001590904	0.0014601278	0.001345463	0.0012337343	0
99.99435	0.0015991866	0.0014682419	0.0013533046	0.0012394722	0
99.994225	0.0016359839	0.0015003844	0.0013784784	0.0012622123	0
99.99395	0.0017289123	0.0015755511	0.0014366115	0.0013182653	0
99.99355	0.0018435499	0.0016787377	0.0015288464	0.0013888121	0
99.99312	0.0019958483	0.0017848213	0.001611912	0.0014834744	0
99.98903	0.0033272095	0.0028290292	0.0024674272	0.0023498181	0
99.99335	0.0019260322	0.0017367501	0.0015586085	0.0014290835	0
99.9937	0.0018219769	0.0016406486	0.0014702338	0.0013715399	0
99.99358	0.0018659558	0.0016704551	0.0014827095	0.0014055801	0
99.99362	0.0018493871	0.0016616681	0.0014721059	0.0013971786	0
99.99393	0.0017461454	0.0015784171	0.0014235402	0.001326238	0
99.99315	0.002006242	0.0017786484	0.0015702551	0.0014943413	0
99.9938	0.0017994995	0.0016149208	0.0014461707	0.0013591546	0
99.99359	0.001867597	0.0016639103	0.0014751244	0.0014068186	0
99.99409	0.0016979692	0.0015363543	0.001388233	0.001289904	0
