W	N1	N2	N3	R	anotacion
99.98654	0.0038566876	0.0034399545	0.003000005	0.0031634194	0
99.98916	0.0031100437	0.0027756873	0.0024463122	0.0024997913	0
99.989	0.0031716514	0.0028336472	0.0024850096	0.0025163547	0
99.988014	0.0034764507	0.0030849893	0.0026935788	0.0027284382	0
99.98801	0.003475941	0.0031102598	0.0027036252	0.0026959626	0
99.987175	0.0037381568	0.0033413388	0.0028881652	0.0028611214	0
99.98747	0.003647566	0.0032372288	0.0028069261	0.002842117	0
99.98644	0.0039629056	0.0035024686	0.0030392886	0.0030460393	0
99.983154	0.0050210967	0.0043345373	0.0037315811	0.003764738	0
99.979004	0.006361674	0.0053706886	0.004611934	0.0046534757	0
99.97211	0.0086531	0.007067083	0.006062241	0.006116606	0
99.90711	0.03229941	0.022571629	0.018642943	0.01937768	0
99.94694	0.017027486	0.013555553	0.011249691	0.0112388935	0
99.95263	0.014915028	0.012163777	0.010261131	0.010029456	0
99.95304	0.014977938	0.011840062	0.010137082	0.009996542	0
99.93801	0.020118745	0.0154993655	0.013411448	0.012958712	0
99.84166	0.054762505	0.039832514	0.032840233	0.030910838	0
99.058136	0.38863525	0.22117065	0.16853914	0.1635237	0
6.707459	88.099365	2.2994552	1.4261137	1.4676049	1
0.6859418	98.18765	0.5538616	0.28101435	0.2915323	1
0.55894375	98.0086	0.80209255	0.30849713	0.32185727	1
1.1288435	95.049965	2.3607283	0.7379543	0.72251236	1
1.9811507	89.13758	6.014526	1.457809	1.4089398	1
3.60344	10.2559	78.2209	5.3848023	2.5349584	2
2.4347034	5.444429	85.3796	4.829331	1.9119368	2
2.1599247	4.679971	87.3489	4.086619	1.7245846	2
1.1299149	3.0167334	93.627426	1.2593391	0.96658784	2
3.6454027	4.245252	85.075874	5.109539	1.9239297	2
99.72813	0.08127548	0.08516002	0.054975156	0.05046299	0
98.057	0.8397771	0.4687693	0.32379133	0.31066793	0
14.784378	75.66162	4.939702	2.3089442	2.3053484	1
4.388506	90.39478	2.8788357	1.1681913	1.1696873	1
2.3685646	89.61886	5.3295994	1.3554388	1.3275398	1
1.6744407	6.7175546	88.13045	2.0632915	1.414269	2
0.47921768	1.2999802	96.99924	0.759925	0.46163625	2
0.18130645	0.3348967	98.93135	0.37007102	0.18236604	2
0.14773645	0.24925894	99.14784	0.30686334	0.14829545	2
0.09062765	0.14873898	99.551735	0.12546636	0.08343406	2
0.14449178	0.27136803	99.15807	0.27663025	0.14943297	2
0.17760341	0.32352364	98.93715	0.37631103	0.18541373	2
0.063783415	0.088773094	99.6637	0.11975238	0.063990556	2
0.10438489	0.12768829	99.448456	0.22127855	0.09819274	2
0.13833913	0.28364176	99.18288	0.24723779	0.14789937	2
0.33386958	0.5061642	98.15933	0.7101173	0.29052103	2
