W	N1	N2	N3	R	anotacion
99.97549	0.0070779314	0.0063447966	0.0053878943	0.0057027484	0
99.97853	0.005486895	0.0053230384	0.0049177716	0.005742626	0
99.98301	0.004412178	0.0042992937	0.003938091	0.004338384	0
99.983574	0.0042837104	0.0042062956	0.0038308047	0.0041028634	0
99.98338	0.004364675	0.0042883703	0.0038777795	0.0040949397	0
99.98067	0.00508166	0.0050564064	0.0045523695	0.004636557	0
99.97151	0.0075683994	0.007737118	0.006800994	0.0063894214	0
99.96609	0.009844292	0.008860182	0.0072610388	0.007948704	0
99.96037	0.011865028	0.010288894	0.008311458	0.009155967	0
99.901115	0.02729309	0.027878007	0.022707976	0.020998618	0
99.964516	0.010549392	0.0093002785	0.007426159	0.0081968745	0
99.9576	0.012746283	0.010820943	0.008649486	0.010180821	0
99.97523	0.0071609938	0.0063515357	0.0052317735	0.0060326327	0
99.98183	0.005268722	0.004654219	0.003826714	0.004420745	0
99.99182	0.0022477033	0.002141935	0.0018959305	0.0018946903	0
99.99261	0.0020347605	0.0019299345	0.0017398528	0.001695034	0
99.992836	0.0019827117	0.001862348	0.0016891392	0.0016299877	0
99.992645	0.0020678306	0.0019002475	0.0017237691	0.0016659676	0
99.98842	0.0034274762	0.0029350768	0.0025479037	0.0026689821	0
99.9926	0.0020937116	0.001920735	0.0016989054	0.0016936983	0
99.993256	0.0018941715	0.0017484569	0.001575151	0.0015193108	0
99.993416	0.001854029	0.0017078433	0.0015425034	0.0014858812	0
99.99352	0.0018200093	0.0016829419	0.0015219668	0.0014544757	0
99.99363	0.0017909621	0.0016593302	0.0015004139	0.0014253268	0
99.99372	0.0017504751	0.001634311	0.0014942234	0.0013921128	0
99.993774	0.0017346338	0.0016199412	0.0014833232	0.0013782379	0
99.993805	0.0017278465	0.0016137278	0.0014769855	0.0013708465	0
99.99385	0.0017222321	0.0016003214	0.0014601817	0.0013663387	0
99.99384	0.0017224149	0.0016035493	0.0014647332	0.0013609689	0
99.993774	0.0017446779	0.0016204212	0.001476363	0.0013743634	0
