W	N1	N2	N3	R	anotacion
99.993225	0.0018979271	0.0017510352	0.0015403444	0.0015949581	0
99.994835	0.0014382554	0.0013353928	0.0012007748	0.0011879517	0
99.99493	0.0014141038	0.0013173735	0.0011855386	0.0011534352	0
99.99489	0.0014282765	0.0013286266	0.0011976311	0.0011547352	0
99.99486	0.0014419309	0.0013364375	0.0012063239	0.001155863	0
99.994865	0.0014423626	0.001333126	0.0012048448	0.0011490543	0
99.994865	0.0014511077	0.001338031	0.0012108426	0.0011495965	0
99.99475	0.0014801355	0.0013619433	0.001234003	0.0011671085	0
99.99465	0.0015120037	0.0013891655	0.001259144	0.001188673	0
99.99454	0.0015459298	0.0014179196	0.0012837006	0.0012109707	0
99.99441	0.0015849837	0.0014518872	0.0013125181	0.0012380726	0
99.9943	0.001618559	0.0014813091	0.0013373168	0.0012607841	0
99.99419	0.0016528473	0.00151188	0.0013647899	0.0012858366	0
99.99409	0.0016855348	0.0015389727	0.001387885	0.001308046	0
99.993904	0.0017408546	0.0015827862	0.0014302267	0.00134578	0
99.9939	0.0017382464	0.0015835209	0.0014416069	0.0013426733	0
99.99377	0.0017749819	0.0016165196	0.0014772573	0.0013681849	0
99.9935	0.0018518416	0.00168239	0.0015442632	0.0014243799	0
99.99332	0.0018975192	0.0017261491	0.001592115	0.0014559455	0
99.99307	0.0019720881	0.0017920616	0.0016523377	0.0015083825	0
99.99293	0.0020136614	0.0018330896	0.0016853388	0.001535557	0
99.99258	0.0021301191	0.0019246836	0.0017590042	0.0016180264	0
99.991646	0.00242014	0.0021584518	0.0019617428	0.0018104671	0
99.991516	0.0024481805	0.0021896188	0.002007159	0.0018351802	0
99.99178	0.0023537055	0.002124787	0.001959402	0.0017748532	0
99.99111	0.0025658926	0.0023018841	0.0021056435	0.0019136803	0
99.990105	0.002883714	0.0025538823	0.0023312243	0.0021271445	0
99.98947	0.0030718225	0.0027119888	0.0024901796	0.0022532556	0
99.98964	0.0030076832	0.002671883	0.002472532	0.0022118548	0
99.990234	0.002813022	0.0025251647	0.0023477233	0.0020801334	0
99.990105	0.0028624278	0.0025487943	0.0023656148	0.0021150587	0
99.98955	0.0030474295	0.0026846211	0.0024953466	0.0022282796	0
99.99083	0.002643992	0.002357552	0.0022066478	0.0019655402	0
99.99117	0.002552801	0.002276862	0.0020988511	0.0018959756	0
99.991196	0.0025352943	0.0022750143	0.0021025983	0.0018992771	0
