W	N1	N2	N3	R	anotacion
99.993004	0.0019099027	0.0018116378	0.0016048767	0.0016716971	0
99.99466	0.0014602127	0.0013898757	0.0012451205	0.0012430507	0
99.99492	0.0013911597	0.0013208882	0.0011914689	0.0011710643	0
99.995026	0.0013734619	0.0012934917	0.0011715625	0.001142419	0
99.99503	0.0013683161	0.0012904669	0.0011668787	0.0011419076	0
99.99511	0.0013536206	0.0012696199	0.0011480451	0.0011164891	0
99.9951	0.0013568361	0.0012751601	0.0011571517	0.0011109699	0
99.995056	0.0013824067	0.0012867311	0.0011698775	0.0011184014	0
99.99497	0.0014007315	0.0013025486	0.0011872828	0.0011282525	0
99.99495	0.0014120578	0.0013120708	0.001199074	0.0011339559	0
99.994896	0.0014232894	0.0013218143	0.0012105707	0.0011401864	0
99.994865	0.0014366896	0.0013327245	0.0012202121	0.0011486423	0
99.994835	0.0014452712	0.0013397643	0.0012283128	0.0011538321	0
99.9948	0.0014538812	0.0013469766	0.0012359355	0.0011599634	0
99.99478	0.0014583741	0.0013503806	0.0012401515	0.0011618971	0
99.99477	0.0014623945	0.0013539232	0.0012445985	0.0011636318	0
99.99477	0.0014634633	0.0013549529	0.0012482248	0.0011638175	0
99.99476	0.0014657775	0.0013569853	0.001252908	0.0011649263	0
99.99475	0.001465102	0.0013568079	0.001257194	0.0011636928	0
99.994736	0.0014667534	0.0013594272	0.0012641543	0.0011639927	0
99.99473	0.0014706758	0.0013629972	0.0012702174	0.0011661842	0
99.99471	0.0014735393	0.0013653488	0.0012730287	0.0011680716	0
99.9947	0.0014791355	0.0013703329	0.0012771261	0.001171269	0
99.9947	0.0014807285	0.0013714172	0.0012784586	0.0011716678	0
99.994675	0.0014881559	0.0013772589	0.001284043	0.001176563	0
99.99466	0.0014909699	0.0013799759	0.0012857541	0.001179228	0
99.994675	0.0014911513	0.0013785365	0.0012796952	0.0011800288	0
99.99467	0.0014935405	0.0013791858	0.0012782355	0.0011816939	0
99.994675	0.0014915753	0.0013779065	0.0012788969	0.0011798975	0
99.994675	0.0014913912	0.0013776842	0.0012800789	0.0011795335	0
99.99467	0.0014909061	0.0013772245	0.0012830619	0.0011782412	0
99.99465	0.0014963067	0.0013821927	0.0012904517	0.0011810813	0
99.99466	0.0014946744	0.0013787724	0.0012851406	0.0011811376	0
99.99466	0.001498604	0.0013798513	0.0012841136	0.0011857572	0
99.99466	0.0014964098	0.0013793146	0.001285412	0.0011826879	0
99.99465	0.0014980439	0.001379541	0.0012867312	0.0011847946	0
99.99465	0.0014980846	0.0013795865	0.001287192	0.0011840945	0
99.99464	0.0015037435	0.0013841784	0.0012918062	0.0011885328	0
99.99465	0.0014995934	0.0013838604	0.0012919005	0.001183606	0
99.994644	0.0014981432	0.0013828862	0.0012906651	0.0011823799	0
99.99465	0.0014971059	0.0013819708	0.0012876493	0.001181509	0
99.99466	0.0014955804	0.0013808376	0.0012868814	0.0011801263	0
99.99465	0.0014970265	0.0013820129	0.0012882043	0.0011811488	0
99.994644	0.001498084	0.0013839571	0.0012891373	0.0011812993	0
99.99465	0.0014961128	0.0013829153	0.001290191	0.00117913	0
99.99466	0.0014944413	0.0013822268	0.0012901817	0.001176762	0
99.99463	0.0014993019	0.0013870818	0.0012977276	0.0011792284	0
99.99463	0.001501083	0.0013882918	0.0012977069	0.0011805524	0
99.99464	0.0014978965	0.0013849227	0.0012968797	0.0011798396	0
99.99463	0.0015000416	0.0013856345	0.0012969319	0.001182014	0
99.994644	0.0014957313	0.0013825237	0.0012927795	0.0011793169	0
99.994644	0.0014951559	0.0013822817	0.0012941869	0.0011782725	0
99.994644	0.0014959438	0.001383504	0.0012982949	0.0011773853	0
99.99462	0.0015016514	0.0013882178	0.0013038964	0.0011810411	0
99.99464	0.0014969502	0.0013854094	0.0013010338	0.0011774676	0
99.994644	0.0014959916	0.0013835148	0.0012984113	0.0011776001	0
99.99464	0.0014974755	0.0013844811	0.0012996751	0.001178838	0
99.994644	0.0014962802	0.0013836343	0.0012973511	0.0011780588	0
99.994644	0.0014948748	0.0013828862	0.001295705	0.001176802	0
99.994644	0.0014953811	0.0013848634	0.0012986332	0.0011757864	0
99.99463	0.0014976156	0.0013876655	0.0013031913	0.0011755783	0
99.994576	0.0015117251	0.0014022924	0.001321309	0.0011830054	0
99.994576	0.0015115573	0.0014021712	0.0013223137	0.0011834234	0
99.99459	0.0015088822	0.0013993564	0.001318343	0.0011831652	0
99.99463	0.0014982839	0.0013884846	0.001307673	0.0011774177	0
99.99463	0.0014968552	0.0013870624	0.0013061366	0.0011767643	0
99.99463	0.001496528	0.0013874081	0.0013072969	0.0011759488	0
99.99461	0.0014999689	0.0013911288	0.001313336	0.001178309	0
99.99462	0.0014992019	0.0013914468	0.0013156235	0.0011779314	0
99.99463	0.0014962626	0.001388472	0.0013140613	0.0011766204	0
99.99461	0.0015000192	0.0013917055	0.001319265	0.001179547	0
99.99462	0.001497225	0.0013891674	0.0013167703	0.0011775569	0
99.994606	0.0014993756	0.0013916824	0.0013222849	0.0011783803	0
99.994606	0.0014988907	0.0013915583	0.0013239762	0.0011778513	0
99.99458	0.0015054664	0.0013968468	0.001332349	0.001183802	0
99.99452	0.0015369658	0.0014158705	0.0013149955	0.0012084113	0
99.99463	0.0014946598	0.0013910008	0.001313932	0.001176409	0
99.99466	0.0014895472	0.001383608	0.0013032929	0.0011737042	0
99.99465	0.00148923	0.0013817345	0.0012999905	0.001173929	0
99.99465	0.0014892843	0.0013817386	0.0012989816	0.0011740496	0
99.99466	0.0014904519	0.0013835487	0.0013010022	0.0011735802	0
99.99466	0.00148847	0.0013825253	0.0013016596	0.0011719124	0
99.99466	0.0014901046	0.0013834254	0.0013017934	0.0011731158	0
99.99465	0.0014913575	0.0013847356	0.0013044234	0.0011733983	0
99.994644	0.0014940706	0.0013869478	0.0013071599	0.0011756748	0
99.994644	0.0014941668	0.0013871939	0.0013067984	0.0011749563	0
99.99463	0.0014966165	0.0013896525	0.0013104767	0.001176369	0
99.99463	0.0014953709	0.0013886654	0.0013094784	0.0011750384	0
99.99462	0.0014977609	0.0013911829	0.0013129858	0.0011759792	0
99.9946	0.0015032523	0.0013963484	0.001318794	0.0011787557	0
99.99457	0.0015120407	0.0014039782	0.0013252045	0.0011844779	0
99.99459	0.0015050733	0.0013976397	0.0013183185	0.0011804781	0
99.9946	0.0015033174	0.0013967315	0.001318094	0.0011782527	0
99.99455	0.0015190804	0.0014125624	0.0013356996	0.0011868498	0
99.994545	0.0015172149	0.0014105055	0.001337085	0.0011861532	0
99.99452	0.0015251029	0.0014178923	0.0013461565	0.0011898703	0
99.99441	0.0015528396	0.0014448107	0.0013783176	0.0012074306	0
99.99443	0.0015480155	0.0014413076	0.0013757531	0.001204856	0
99.99445	0.0015419362	0.0014340446	0.001367612	0.0012012484	0
99.99448	0.0015371094	0.0014279844	0.0013621132	0.0011988713	0
